sale_id,product_id,quantity_sold,sale_date,name,category,shelf_life_days,current_stock,rolling_avg_7d,rolling_avg_14d,rolling_std_7d,weekly_total,day_of_week,days_until_stockout
59,1,29,2024-02-28,Bananas,Perishable,5,226,44.86,43.79,11.26,314,2,5.0
60,1,46,2024-02-29,Bananas,Perishable,5,400,46.29,44.36,10.56,324,3,8.6
61,1,55,2024-03-01,Bananas,Perishable,5,345,47.43,44.36,11.07,332,4,7.3
62,1,57,2024-03-02,Bananas,Perishable,5,288,47.43,45.29,11.07,332,5,6.1
63,1,42,2024-03-03,Bananas,Perishable,5,246,45.0,45.36,9.92,315,6,5.5
64,1,37,2024-03-04,Bananas,Perishable,5,209,45.0,44.93,9.92,315,0,4.6
65,1,48,2024-03-05,Bananas,Perishable,5,400,44.86,45.93,9.86,314,1,8.9
66,1,30,2024-03-06,Bananas,Perishable,5,370,45.0,44.93,9.59,315,2,8.2
67,1,42,2024-03-07,Bananas,Perishable,5,328,44.43,45.36,9.64,311,3,7.4
68,1,59,2024-03-08,Bananas,Perishable,5,269,45.0,46.21,10.46,315,4,6.0
69,1,56,2024-03-09,Bananas,Perishable,5,213,44.86,46.14,10.27,314,5,4.7
70,1,43,2024-03-10,Bananas,Perishable,5,400,45.0,45.0,10.23,315,6,8.9
71,1,37,2024-03-11,Bananas,Perishable,5,363,45.0,45.0,10.23,315,0,8.1
72,1,39,2024-03-12,Bananas,Perishable,5,324,43.71,44.29,10.36,306,1,7.4
73,1,48,2024-03-13,Bananas,Perishable,5,276,46.29,45.64,8.44,324,2,6.0
74,1,52,2024-03-14,Bananas,Perishable,5,224,47.71,46.07,8.44,334,3,4.7
75,1,53,2024-03-15,Bananas,Perishable,5,400,46.86,45.93,7.34,328,4,8.5
76,1,57,2024-03-16,Bananas,Perishable,5,343,47.0,45.93,7.55,329,5,7.3
77,1,48,2024-03-17,Bananas,Perishable,5,295,47.71,46.36,7.34,334,6,6.2
78,1,44,2024-03-18,Bananas,Perishable,5,251,48.71,46.86,5.99,341,0,5.2
79,1,36,2024-03-19,Bananas,Perishable,5,215,48.29,46.0,6.85,338,1,4.5
80,1,40,2024-03-20,Bananas,Perishable,5,400,47.14,46.71,7.54,330,2,8.5
81,1,47,2024-03-21,Bananas,Perishable,5,353,46.43,47.07,7.23,325,3,7.6
82,1,62,2024-03-22,Bananas,Perishable,5,291,47.71,47.29,9.14,334,4,6.1
83,1,44,2024-03-23,Bananas,Perishable,5,247,45.86,46.43,8.21,321,5,5.4
84,1,0,2024-03-24,Bananas,Perishable,5,247,39.0,43.36,19.04,273,6,6.3
85,1,41,2024-03-25,Bananas,Perishable,5,206,38.57,43.64,18.94,270,0,5.3
86,1,21,2024-03-26,Bananas,Perishable,5,400,36.43,42.36,20.09,255,1,11.0
87,1,37,2024-03-27,Bananas,Perishable,5,363,36.0,41.57,20.03,252,2,10.1
88,1,50,2024-03-28,Bananas,Perishable,5,313,36.43,41.43,20.34,255,3,8.6
89,1,40,2024-03-29,Bananas,Perishable,5,273,33.29,40.5,17.18,233,4,8.2
90,1,57,2024-03-30,Bananas,Perishable,5,216,35.14,40.5,19.13,246,5,6.1
91,2,27,2024-01-01,Apples,Perishable,7,393,27.0,27.0,0.0,27,0,14.6
92,2,29,2024-01-02,Apples,Perishable,7,364,28.0,28.0,1.41,56,1,13.0
93,2,0,2024-01-03,Apples,Perishable,7,364,18.67,18.67,16.2,56,2,19.5
94,2,39,2024-01-04,Apples,Perishable,7,325,23.75,23.75,16.68,95,3,13.7
95,2,32,2024-01-05,Apples,Perishable,7,293,25.4,25.4,14.91,127,4,11.5
96,2,43,2024-01-06,Apples,Perishable,7,250,28.33,28.33,15.15,170,5,8.8
97,2,40,2024-01-07,Apples,Perishable,7,420,30.0,30.0,14.51,210,6,14.0
98,2,29,2024-01-08,Apples,Perishable,7,391,30.29,29.88,14.47,212,0,12.9
99,2,34,2024-01-09,Apples,Perishable,7,357,31.0,30.33,14.51,217,1,11.5
100,2,17,2024-01-10,Apples,Perishable,7,340,33.43,29.0,8.73,234,2,10.2
101,2,37,2024-01-11,Apples,Perishable,7,303,33.14,29.73,8.55,232,3,9.1
102,2,39,2024-01-12,Apples,Perishable,7,264,34.14,30.5,8.8,239,4,7.7
103,2,41,2024-01-13,Apples,Perishable,7,223,33.86,31.31,8.49,237,5,6.6
104,2,38,2024-01-14,Apples,Perishable,7,420,33.57,31.79,8.28,235,6,12.5
105,2,32,2024-01-15,Apples,Perishable,7,388,34.0,32.14,8.08,238,0,11.4
106,2,33,2024-01-16,Apples,Perishable,7,355,33.86,32.43,8.09,237,1,10.5
107,2,32,2024-01-17,Apples,Perishable,7,323,36.0,34.71,3.65,252,2,9.0
108,2,45,2024-01-18,Apples,Perishable,7,278,37.14,35.14,5.01,260,3,7.5
109,2,42,2024-01-19,Apples,Perishable,7,236,37.57,35.86,5.32,263,4,6.3
110,2,55,2024-01-20,Apples,Perishable,7,420,39.57,36.71,8.5,277,5,10.6
111,2,45,2024-01-21,Apples,Perishable,7,375,40.57,37.07,8.7,284,6,9.2
112,2,22,2024-01-22,Apples,Perishable,7,353,39.14,36.57,10.88,274,0,9.0
113,2,33,2024-01-23,Apples,Perishable,7,320,39.14,36.5,10.88,274,1,8.2
114,2,36,2024-01-24,Apples,Perishable,7,284,39.71,37.86,10.55,278,2,7.2
115,2,29,2024-01-25,Apples,Perishable,7,255,37.43,37.29,10.94,262,3,6.8
116,2,41,2024-01-26,Apples,Perishable,7,214,37.29,37.43,10.87,261,4,5.7
117,2,48,2024-01-27,Apples,Perishable,7,420,36.29,37.93,9.16,254,5,11.6
118,2,34,2024-01-28,Apples,Perishable,7,386,34.71,37.64,8.32,243,6,11.1
119,2,40,2024-01-29,Apples,Perishable,7,346,37.29,38.21,6.26,261,0,9.3
120,2,34,2024-01-30,Apples,Perishable,7,312,37.43,38.29,6.16,262,1,8.3
121,2,38,2024-01-31,Apples,Perishable,7,274,37.71,38.71,6.13,264,2,7.3
122,2,30,2024-02-01,Apples,Perishable,7,244,37.86,37.64,5.9,265,3,6.4
123,2,29,2024-02-02,Apples,Perishable,7,215,36.14,36.71,6.54,253,4,5.9
124,2,57,2024-02-03,Apples,Perishable,7,420,37.43,36.86,9.48,262,5,11.2
125,2,35,2024-02-04,Apples,Perishable,7,385,37.57,36.14,9.43,263,6,10.2
126,2,33,2024-02-05,Apples,Perishable,7,352,36.57,36.93,9.5,256,0,9.6
127,2,35,2024-02-06,Apples,Perishable,7,317,36.71,37.07,9.46,257,1,8.6
128,2,19,2024-02-07,Apples,Perishable,7,298,34.0,35.86,11.53,238,2,8.8
129,2,41,2024-02-08,Apples,Perishable,7,257,35.57,36.71,11.65,249,3,7.2
130,2,31,2024-02-09,Apples,Perishable,7,226,35.86,36.0,11.48,251,4,6.3
131,2,32,2024-02-10,Apples,Perishable,7,420,32.29,34.86,6.7,226,5,13.0
132,2,40,2024-02-11,Apples,Perishable,7,380,33.0,35.29,7.28,231,6,11.5
133,2,28,2024-02-12,Apples,Perishable,7,352,32.29,34.43,7.52,226,0,10.9
134,2,28,2024-02-13,Apples,Perishable,7,324,31.29,34.0,7.57,219,1,10.4
135,2,31,2024-02-14,Apples,Perishable,7,293,33.0,33.5,5.35,231,2,8.9
136,2,25,2024-02-15,Apples,Perishable,7,268,30.71,33.14,4.75,215,3,8.7
137,2,0,2024-02-16,Apples,Perishable,7,268,26.29,31.07,12.53,184,4,10.2
138,2,28,2024-02-17,Apples,Perishable,7,240,25.71,29.0,12.31,180,5,9.3
139,2,39,2024-02-18,Apples,Perishable,7,420,25.57,29.29,12.12,179,6,16.4
140,2,44,2024-02-19,Apples,Perishable,7,376,27.86,30.07,14.02,195,0,13.5
141,2,37,2024-02-20,Apples,Perishable,7,339,29.14,30.21,14.44,204,1,11.6
142,2,20,2024-02-21,Apples,Perishable,7,319,27.57,30.29,14.8,193,2,11.6
143,2,33,2024-02-22,Apples,Perishable,7,286,28.71,29.71,14.87,201,3,10.0
144,2,38,2024-02-23,Apples,Perishable,7,248,34.14,30.21,7.99,239,4,7.3
145,2,52,2024-02-24,Apples,Perishable,7,420,37.57,31.64,9.85,263,5,11.2
146,2,35,2024-02-25,Apples,Perishable,7,385,37.0,31.29,9.87,259,6,10.4
147,2,24,2024-02-26,Apples,Perishable,7,361,34.14,31.0,10.38,239,0,10.6
148,2,31,2024-02-27,Apples,Perishable,7,330,33.29,31.21,10.36,233,1,9.9
149,2,31,2024-02-28,Apples,Perishable,7,299,34.86,31.21,8.71,244,2,8.6
150,2,36,2024-02-29,Apples,Perishable,7,263,35.29,32.0,8.67,247,3,7.5
151,2,43,2024-03-01,Apples,Perishable,7,220,36.0,35.07,9.13,252,4,6.1
152,2,54,2024-03-02,Apples,Perishable,7,420,36.29,36.93,9.72,254,5,11.6
153,2,0,2024-03-03,Apples,Perishable,7,420,31.29,34.14,16.87,219,6,13.4
154,2,0,2024-03-04,Apples,Perishable,7,420,27.86,31.0,20.62,195,0,15.1
155,2,23,2024-03-05,Apples,Perishable,7,397,26.71,30.0,20.64,187,1,14.9
156,2,36,2024-03-06,Apples,Perishable,7,361,27.43,31.14,20.9,192,2,13.2
157,2,29,2024-03-07,Apples,Perishable,7,332,26.43,30.86,20.58,185,3,12.6
158,2,46,2024-03-08,Apples,Perishable,7,286,26.86,31.43,21.01,188,4,10.6
159,2,44,2024-03-09,Apples,Perishable,7,242,25.43,30.86,19.11,178,5,9.5
160,2,38,2024-03-10,Apples,Perishable,7,420,30.86,31.07,15.79,216,6,13.6
161,2,33,2024-03-11,Apples,Perishable,7,387,35.57,31.71,8.1,249,0,10.9
162,2,30,2024-03-12,Apples,Perishable,7,357,36.57,31.64,6.58,256,1,9.8
163,2,31,2024-03-13,Apples,Perishable,7,326,35.86,31.64,6.91,251,2,9.1
164,2,25,2024-03-14,Apples,Perishable,7,301,35.29,30.86,7.7,247,3,8.5
165,2,41,2024-03-15,Apples,Perishable,7,260,34.57,30.71,6.7,242,4,7.5
166,2,34,2024-03-16,Apples,Perishable,7,226,33.14,29.29,5.27,232,5,6.8
167,2,38,2024-03-17,Apples,Perishable,7,420,33.14,32.0,5.27,232,6,12.7
168,2,39,2024-03-18,Apples,Perishable,7,381,34.0,34.79,5.72,238,0,11.2
169,2,35,2024-03-19,Apples,Perishable,7,346,34.71,35.64,5.44,243,1,10.0
170,2,30,2024-03-20,Apples,Perishable,7,316,34.57,35.21,5.56,242,2,9.1
171,2,30,2024-03-21,Apples,Perishable,7,286,35.29,35.29,4.31,247,3,8.1
172,2,28,2024-03-22,Apples,Perishable,7,258,33.43,34.0,4.24,234,4,7.7
173,2,34,2024-03-23,Apples,Perishable,7,224,33.43,33.29,4.24,234,5,6.7
174,2,30,2024-03-24,Apples,Perishable,7,420,32.29,32.71,3.86,226,6,13.0
175,2,30,2024-03-25,Apples,Perishable,7,390,31.0,32.5,2.52,217,0,12.6
176,2,24,2024-03-26,Apples,Perishable,7,366,29.43,32.07,2.99,206,1,12.4
177,2,26,2024-03-27,Apples,Perishable,7,340,28.86,31.71,3.24,202,2,11.8
178,2,25,2024-03-28,Apples,Perishable,7,315,28.14,31.71,3.48,197,3,11.2
179,2,36,2024-03-29,Apples,Perishable,7,279,29.29,31.36,4.57,205,4,9.5
180,2,44,2024-03-30,Apples,Perishable,7,235,30.71,32.07,7.13,215,5,7.7
181,3,34,2024-01-01,Tomatoes,Perishable,4,166,34.0,34.0,0.0,34,0,4.9
182,3,30,2024-01-02,Tomatoes,Perishable,4,136,32.0,32.0,2.83,64,1,4.2
183,3,20,2024-01-03,Tomatoes,Perishable,4,116,28.0,28.0,7.21,84,2,4.1
184,3,29,2024-01-04,Tomatoes,Perishable,4,200,28.25,28.25,5.91,113,3,7.1
185,3,37,2024-01-05,Tomatoes,Perishable,4,163,30.0,30.0,6.44,150,4,5.4
186,3,35,2024-01-06,Tomatoes,Perishable,4,128,30.83,30.83,6.11,185,5,4.2
187,3,29,2024-01-07,Tomatoes,Perishable,4,200,30.57,30.57,5.62,214,6,6.5
188,3,21,2024-01-08,Tomatoes,Perishable,4,179,28.71,29.38,6.4,201,0,6.2
189,3,0,2024-01-09,Tomatoes,Perishable,4,179,24.43,26.11,12.51,171,1,7.3
190,3,20,2024-01-10,Tomatoes,Perishable,4,159,24.43,25.5,12.51,171,2,6.5
191,3,35,2024-01-11,Tomatoes,Perishable,4,124,25.29,26.36,13.07,177,3,4.9
192,3,38,2024-01-12,Tomatoes,Perishable,4,200,25.43,27.33,13.23,178,4,7.9
193,3,36,2024-01-13,Tomatoes,Perishable,4,164,25.57,28.0,13.35,179,5,6.4
194,3,29,2024-01-14,Tomatoes,Perishable,4,135,25.57,28.07,13.35,179,6,5.3
195,3,23,2024-01-15,Tomatoes,Perishable,4,112,25.86,27.29,13.26,181,0,4.3
196,3,27,2024-01-16,Tomatoes,Perishable,4,200,29.71,27.07,6.87,208,1,6.7
197,3,19,2024-01-17,Tomatoes,Perishable,4,181,29.57,27.0,7.11,207,2,6.1
198,3,22,2024-01-18,Tomatoes,Perishable,4,159,27.71,26.5,7.16,194,3,5.7
199,3,41,2024-01-19,Tomatoes,Perishable,4,118,28.14,26.79,7.93,197,4,4.2
200,3,26,2024-01-20,Tomatoes,Perishable,4,200,26.71,26.14,7.13,187,5,7.5
201,3,26,2024-01-21,Tomatoes,Perishable,4,174,26.29,25.93,7.06,184,6,6.6
202,3,34,2024-01-22,Tomatoes,Perishable,4,140,27.86,26.86,7.43,195,0,5.0
203,3,22,2024-01-23,Tomatoes,Perishable,4,118,27.14,28.43,7.76,190,1,4.3
204,3,22,2024-01-24,Tomatoes,Perishable,4,200,27.57,28.57,7.3,193,2,7.3
205,3,23,2024-01-25,Tomatoes,Perishable,4,177,27.71,27.71,7.18,194,3,6.4
206,3,29,2024-01-26,Tomatoes,Perishable,4,148,26.0,27.07,4.36,182,4,5.7
207,3,35,2024-01-27,Tomatoes,Perishable,4,113,27.29,27.0,5.53,191,5,4.1
208,3,27,2024-01-28,Tomatoes,Perishable,4,200,27.43,26.86,5.5,192,6,7.3
209,3,30,2024-01-29,Tomatoes,Perishable,4,170,26.86,27.36,4.88,188,0,6.3
210,3,29,2024-01-30,Tomatoes,Perishable,4,141,27.86,27.5,4.41,195,1,5.1
211,3,24,2024-01-31,Tomatoes,Perishable,4,117,28.14,27.86,4.02,197,2,4.2
212,3,20,2024-02-01,Tomatoes,Perishable,4,200,27.71,27.71,4.75,194,3,7.2
213,3,26,2024-02-02,Tomatoes,Perishable,4,174,27.29,26.64,4.75,191,4,6.4
214,3,36,2024-02-03,Tomatoes,Perishable,4,138,27.43,27.36,5.03,192,5,5.0
215,3,35,2024-02-04,Tomatoes,Perishable,4,103,28.57,28.0,5.77,200,6,3.6
216,3,27,2024-02-05,Tomatoes,Perishable,4,200,28.14,27.5,5.76,197,0,7.1
217,3,32,2024-02-06,Tomatoes,Perishable,4,168,28.57,28.21,5.94,200,1,5.9
218,3,24,2024-02-07,Tomatoes,Perishable,4,144,28.57,28.36,5.94,200,2,5.0
219,3,24,2024-02-08,Tomatoes,Perishable,4,120,29.14,28.43,5.11,204,3,4.1
220,3,28,2024-02-09,Tomatoes,Perishable,4,200,29.43,28.36,4.96,206,4,6.8
221,3,36,2024-02-10,Tomatoes,Perishable,4,164,29.43,28.43,4.96,206,5,5.6
222,3,32,2024-02-11,Tomatoes,Perishable,4,132,29.0,28.79,4.51,203,6,4.6
223,3,30,2024-02-12,Tomatoes,Perishable,4,102,29.43,28.79,4.43,206,0,3.5
224,3,32,2024-02-13,Tomatoes,Perishable,4,200,29.43,29.0,4.43,206,1,6.8
225,3,22,2024-02-14,Tomatoes,Perishable,4,178,29.14,28.86,4.88,204,2,6.1
226,3,25,2024-02-15,Tomatoes,Perishable,4,153,29.29,29.21,4.72,205,3,5.2
227,3,39,2024-02-16,Tomatoes,Perishable,4,114,30.86,30.14,5.9,216,4,3.7
228,3,41,2024-02-17,Tomatoes,Perishable,4,200,31.57,30.5,6.85,221,5,6.3
229,3,34,2024-02-18,Tomatoes,Perishable,4,166,31.86,30.43,6.91,223,6,5.2
230,3,28,2024-02-19,Tomatoes,Perishable,4,138,31.57,30.5,7.04,221,0,4.4
231,3,23,2024-02-20,Tomatoes,Perishable,4,115,30.29,29.86,7.74,212,1,3.8
232,3,26,2024-02-21,Tomatoes,Perishable,4,200,30.86,30.0,7.15,216,2,6.5
233,3,39,2024-02-22,Tomatoes,Perishable,4,161,32.86,31.07,7.2,230,3,4.9
234,3,33,2024-02-23,Tomatoes,Perishable,4,128,32.0,31.43,6.68,224,4,4.0
235,3,0,2024-02-24,Tomatoes,Perishable,4,128,26.14,28.86,12.72,183,5,4.9
236,3,40,2024-02-25,Tomatoes,Perishable,4,200,27.0,29.43,13.52,189,6,7.4
237,3,34,2024-02-26,Tomatoes,Perishable,4,166,27.86,29.71,13.78,195,0,6.0
238,3,26,2024-02-27,Tomatoes,Perishable,4,140,28.29,29.29,13.65,198,1,4.9
239,3,34,2024-02-28,Tomatoes,Perishable,4,106,29.43,30.14,13.76,206,2,3.6
240,3,34,2024-02-29,Tomatoes,Perishable,4,200,28.71,30.79,13.3,201,3,7.0
241,3,31,2024-03-01,Tomatoes,Perishable,4,169,28.43,30.21,13.21,199,4,5.9
242,3,41,2024-03-02,Tomatoes,Perishable,4,128,34.29,30.21,5.12,240,5,3.7
243,3,28,2024-03-03,Tomatoes,Perishable,4,200,32.57,29.79,4.89,228,6,6.1
244,3,23,2024-03-04,Tomatoes,Perishable,4,177,31.0,29.43,6.0,217,0,5.7
245,3,24,2024-03-05,Tomatoes,Perishable,4,153,30.71,29.5,6.32,215,1,5.0
246,3,19,2024-03-06,Tomatoes,Perishable,4,134,28.57,29.0,7.46,200,2,4.7
247,3,26,2024-03-07,Tomatoes,Perishable,4,108,27.43,28.07,7.09,192,3,3.9
248,3,34,2024-03-08,Tomatoes,Perishable,4,200,27.86,28.14,7.43,195,4,7.2
249,3,0,2024-03-09,Tomatoes,Perishable,4,200,22.0,28.14,10.75,154,5,9.1
250,3,23,2024-03-10,Tomatoes,Perishable,4,177,21.29,26.93,10.45,149,6,8.3
251,3,26,2024-03-11,Tomatoes,Perishable,4,151,21.71,26.36,10.59,152,0,7.0
252,3,20,2024-03-12,Tomatoes,Perishable,4,131,21.14,25.93,10.56,148,1,6.2
253,3,0,2024-03-13,Tomatoes,Perishable,4,131,18.43,23.5,13.29,129,2,7.1
254,3,28,2024-03-14,Tomatoes,Perishable,4,103,18.71,23.07,13.5,131,3,5.5
255,3,32,2024-03-15,Tomatoes,Perishable,4,200,18.43,23.14,13.14,129,4,10.9
256,3,33,2024-03-16,Tomatoes,Perishable,4,167,23.14,22.57,11.2,162,5,7.2
257,3,42,2024-03-17,Tomatoes,Perishable,4,125,25.86,23.57,13.27,181,6,4.8
258,3,27,2024-03-18,Tomatoes,Perishable,4,200,26.0,23.86,13.28,182,0,7.7
259,3,0,2024-03-19,Tomatoes,Perishable,4,200,23.14,22.14,16.54,162,1,8.6
260,3,28,2024-03-20,Tomatoes,Perishable,4,172,27.14,22.79,13.02,190,2,6.3
261,3,0,2024-03-21,Tomatoes,Perishable,4,172,23.14,20.93,16.54,162,3,7.4
262,3,28,2024-03-22,Tomatoes,Perishable,4,144,22.57,20.5,16.25,158,4,6.4
263,3,0,2024-03-23,Tomatoes,Perishable,4,144,17.86,20.5,17.46,125,5,8.1
264,3,35,2024-03-24,Tomatoes,Perishable,4,109,16.86,21.36,15.98,118,6,6.5
265,3,21,2024-03-25,Tomatoes,Perishable,4,200,16.0,21.0,15.5,112,0,12.5
266,3,28,2024-03-26,Tomatoes,Perishable,4,172,20.0,21.57,14.25,140,1,8.6
267,3,23,2024-03-27,Tomatoes,Perishable,4,149,19.29,23.21,13.9,135,2,7.7
268,3,24,2024-03-28,Tomatoes,Perishable,4,125,22.71,22.93,11.01,159,3,5.5
269,3,0,2024-03-29,Tomatoes,Perishable,4,125,18.71,20.64,13.56,131,4,6.7
270,3,29,2024-03-30,Tomatoes,Perishable,4,200,22.86,20.36,11.1,160,5,8.7
271,4,16,2024-01-01,Lettuce,Perishable,3,74,16.0,16.0,0.0,16,0,4.6
272,4,19,2024-01-02,Lettuce,Perishable,3,55,17.5,17.5,2.12,35,1,3.1
273,4,14,2024-01-03,Lettuce,Perishable,3,90,16.33,16.33,2.52,49,2,5.5
274,4,18,2024-01-04,Lettuce,Perishable,3,72,16.75,16.75,2.22,67,3,4.3
275,4,19,2024-01-05,Lettuce,Perishable,3,53,17.2,17.2,2.17,86,4,3.1
276,4,25,2024-01-06,Lettuce,Perishable,3,90,18.5,18.5,3.73,111,5,4.9
277,4,18,2024-01-07,Lettuce,Perishable,3,72,18.43,18.43,3.41,129,6,3.9
278,4,14,2024-01-08,Lettuce,Perishable,3,58,18.14,17.88,3.72,127,0,3.2
279,4,15,2024-01-09,Lettuce,Perishable,3,90,17.57,17.56,3.87,123,1,5.1
280,4,11,2024-01-10,Lettuce,Perishable,3,79,17.14,16.9,4.45,120,2,4.6
281,4,0,2024-01-11,Lettuce,Perishable,3,79,14.57,15.36,7.81,102,3,5.4
282,4,13,2024-01-12,Lettuce,Perishable,3,66,13.71,15.17,7.57,96,4,4.8
283,4,22,2024-01-13,Lettuce,Perishable,3,90,13.29,15.69,6.87,93,5,6.8
284,4,14,2024-01-14,Lettuce,Perishable,3,76,12.71,15.57,6.58,89,6,6.0
285,4,16,2024-01-15,Lettuce,Perishable,3,60,13.0,15.57,6.68,91,0,4.6
286,4,14,2024-01-16,Lettuce,Perishable,3,46,12.86,15.21,6.64,90,1,3.6
287,4,6,2024-01-17,Lettuce,Perishable,3,90,12.14,14.64,7.13,85,2,7.4
288,4,10,2024-01-18,Lettuce,Perishable,3,80,13.57,14.07,4.96,95,3,5.9
289,4,18,2024-01-19,Lettuce,Perishable,3,62,14.29,14.0,5.22,100,4,4.3
290,4,24,2024-01-20,Lettuce,Perishable,3,90,14.57,13.93,5.74,102,5,6.2
291,4,18,2024-01-21,Lettuce,Perishable,3,72,15.14,13.93,5.87,106,6,4.8
